id,is_ours,doi,n_chars,title
R30,False,10.1109/rivf68649.2025.11365182,1238,Beyond Time-Series: Aligning Modalities and Architectures for Student Dropout Prediction
R31,False,10.1109/rivf68649.2025.11365178,758,Improving the Performance of the Lightweight Detector Through Effective Collaboration with Visibility Enhancement Technique
R32,False,10.1109/rivf68649.2025.11365079,1072,Development of YOLO-Based Fall Detection with Real-Time Monitoring System on Raspberry Pi 5
R33,True,LOCAL:paper/main.tex,1350,Citation-Level Unfaithfulness of Small Language Models on Vietnamese Banking Regulation: A Provenance-Guarded RAG Benchmark
R34,False,10.1109/rivf68649.2025.11365115,1160,Empirical Evaluation of Evolutionary NAS with Training-Free Metrics for Discovering Robust Networks Under Adversarial Training
R35,False,10.1109/rivf68649.2025.11365180,1202,Genetic Algorithm Optimized Controllers for Wind Power Fluctuation Mitigation in Power Grids
R36,False,10.1109/rivf68649.2025.11365216,1297,Visual Inspection of CNC Milling Tool Defects: A Study with Few-Shot Learning
R37,False,10.1109/rivf68649.2025.11365197,1082,An Experimental Study of Walrus Optimization-Based Deep Learning Models for Software Effort Estimation
R38,False,10.1109/rivf68649.2025.11365158,1407,SilkLDP: A Pixel-Level Annotated Dataset and Deep Learning Approach for Silkworm Disease Detection
R39,False,10.1109/rivf68649.2025.11364526,1322,Development of a Humanoid Robot Prototype for Multimodal Human-Robot Interaction
R40,False,10.1109/rivf68649.2025.11365082,1274,Urban Perception Analysis via Transformer-Based Image Segmentation: A Deep Dive Into City Understanding
R41,False,10.1109/rivf68649.2025.11365035,1258,A Two-Tiered Vietnamese Benchmark Dataset for TikTok Engagement Prediction in the Cosmetics Sector
R42,False,10.1109/rivf68649.2025.11365060,1577,ASA-IDS: Attribution-Stealth Adversarial Attacks for Network Intrusion Detection Systems
R43,False,10.1109/rivf68649.2025.11364527,1435,O2O: Fine-Tuning Diffusion Models with Reinforcement Learning Using A Hybrid of Generated and Real Images
R44,False,10.1109/rivf68649.2025.11365085,1740,An Increased Superdirective Beamformer's Performance Based on Likelihood Estimation
R45,False,10.1109/rivf68649.2025.11365256,2010,ViTrend: A Real-Time System for Topic-Based Social Media Trend Analysis on Vietnamese Facebook
R46,False,10.1109/rivf68649.2025.11365095,1061,High-Fidelity Beam Selection in the Upper Mid-Band Using Digital Twin Ray-Tracing and Deep Learning
R47,False,10.1109/rivf68649.2025.11365257,1346,"A 1-Bit Reconfigurable Intelligent Surface: Design, Theory and Beam Steering in S and C Band"
R48,False,10.1109/rivf68649.2025.11365209,692,Codebook Design and Hybrid Reference Signaling for AI/ML-Based Beam Management
R49,False,10.1109/rivf68649.2025.11365143,1414,Computer Vision in Agriculture: Cacao Bean Sorting Using Deep Learning
