id,novelty,rigor,evidence,reproducibility,clarity,significance,overall,verdict,note
R37,3,4,4,4,6,3,4,reject,"Yet another metaheuristic-tunes-deep-models study where the Walrus optimizer adds no identifiable methodological value."
R38,6,5,6,7,7,5,6,accept,"Valuable first public pixel-annotated silkworm disease dataset with solid segmentation baselines and open release of data and code."
R39,4,5,5,5,6,4,4,reject,"Well-built humanoid testbed integrating standard modules but no novel algorithmic contribution beyond assembly."
R40,5,5,5,5,6,5,5,"major revision","Interesting urban-perception pipeline for a Global South city but correlation-level evidence and buzz-heavy framing need tightening."
R41,5,5,5,6,6,5,5,"major revision","Useful first Vietnamese TikTok KOL benchmark but weak baselines and thin task analysis leave the benchmark's difficulty uncharacterized."
R42,6,6,6,5,7,6,7,accept,"First attribution-stealth attack formulation for NIDS with two new explanation-space metrics and controlled experiments on two public benchmarks."
R43,5,5,5,6,6,5,5,"major revision","Interesting off/on-policy hybrid for diffusion alignment but the priority claim is overstated and no quantitative results are given."
R44,4,4,5,3,4,4,4,reject,"Narrow beamformer tweak with limited methodological detail and writing quality that obscures the experimental setup."
R45,4,3,3,4,5,4,3,reject,"The headline precision hides a 0.34 F1 indicating the classification core does not work as claimed."
R46,5,5,4,5,6,5,5,"major revision","Well-constructed digital-twin study for beam management but unquantified improvement claims weaken the empirical case."
R47,4,5,5,5,6,4,5,"major revision","Careful 1-bit RIS unit-cell design validated in simulation and theory but no fabrication or measurement evidence."
R48,4,3,3,3,5,4,3,reject,"Standards-aligned but thin study whose codebook strategies and evaluations are described too briefly to assess any contribution."
R49,3,3,3,3,5,3,3,reject,"A reported 100% testing accuracy signals leakage or an inadequate test set and undermines all performance claims."
